,reviews,Sentiments
35,easy to carry nd baby feels comfortable in it.,1
36,Awesome product recommended same as picture,1
37,very good quality and same as mentioned....,1
38,it is vey comfortable .very good thing,1
39,Bohat achi item but packed very badly,-1
40,bht ache h I m happy thanx daraz😚😚,0
41,very nice as shown i like it thanks,1
42,its very beautiful and comfortable.,1
43,really good product...100%satisfied,1
44,Good quality recommended to others,1
45,beautiful but size is not perfect,-1
46,bht achi quality ha thanks daraz,1
47,very good experience of shopping,1
48,"good as shown in picture
like it",1
49,great same as shown in picture.,1
50,Highly recommend. good quality ,1
51,very soft cute thing for babies,1
52,useless...jst waste of money..,-1
53,Too small and uncomfortable ,-1
54,same as shown picture nyc..,0
55,"Acha tha, value for money. ",1
56,quality is good.satisfied,0
57,Very good and comfortable,1
58,exactly same love it ,1
59,Nice.same as shown,0
60,too much small,0
61,"The box in which the product was packaged was not damaged, but when I opened the box and checked the product, the plastic container was already severely crushed.  This means that the seller intentionally sent me a product that was already damaged before it was sent.

So I will return this product to Daraz for a refund and I do not recommend buying products from this seller.",-1
62,Thank you seller for such quality products. Came safely no damage at all. Really a great but i must say. Always love to buy from here. Satisfied to fullest.,1
63,I m getting addicted to HIMALAYAN spices too good in terms of quantity n quality the best part is their shaker bottles which makes storage n usage easy price are also very economical thanks daraz ,1
64,It is great in quality and quantity. The expiry  is also till may 2024. the aroma guarantees  the authenticity of the products  ,1
65,very good 😊 halde powder min use Kia he i am very happy for this perches Thanks 😊 daraz Happy shipping ,1
66,Looks good haven't used yet but packaging seem sturdy and it hasn't spilled so kudos,1
67,best turmeric powder best selling thanks daraz,1
68,"WBM's best turmeric powder with organic aroma.. Maximum pure with natural aroma and colour of termaric ...
Recommended",1
69,Turmeric powder is so good aap ke sare product buhat zaberdest hin I am happy Thanks Himalayan chef Thanks Daraz happy shopping👌👍,1
70,Nice and premium quality!,1
71,good product 👍 with nice container. recommended,1
72,Good product highly recommend..,1
73,nive well taste thanx daraz ,0
74,good but costly,0
75,Best quality products,1
76,thanks 👍,1
77,acha haldi powder hy khalis lagta hy khushbu sy .bottle bhe bohat achee hy samajh nahi ata k ise beand ka phir lal mirch powder baykar kyun hy,0
78,very good quality products by himalaya  chef and great packing,1
79,"original but rates are high. 
quality not yet check . ",0
80,It's perfect what I wanted thanks,1
81,bht achi  quality hy thnx daraz,0
82,Good with original paking ,1
83,product quailty is best,1
84,great recommended,1
85,"The vegetables were  well packed 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",1
86,The vegetable were  fresh 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 ,1
87,The vegetable were very fresh 😍 and price is also reasonable🥰 such a good wuality in low price💓 will shop again soon inshallah daraz is always best shop to place❤️ thank u daraz💗 thank u seller🥰,1
88,"good quality
nice packaging.good taste. bhttt mzy ki bani hy.😋
keep it up draz . ",1
89,Fresh cauliflower delivered in the main bag without wraping them individually so they were a little damaged.,0
90,Gobi was really nice and clean. But there was too much of the stalk left with it so the useable part was not big enough as you would expect when buying 1kg Gobi from the market.,1
91,"Gobhi achi hai. Gobhi k phool mix size k hain. Kuch chotay, aur kuch normal. Saray phool baray size k nhe. ",0
92,Good n fresh as always,1
93,"MASHA-ALLAH 💯% Fresh vegetables bijwaty hain Dfresh waly.
love it",1
94,"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1
95,The cabbage were not very fresh but dFresh sent me almost 2kg instead of the ordered 1kg so not taking down a star.,0
96,cauliflower was fresh and cheap. there was no default in it. i loved ordering from dfresh d will love to do so in future. i would recommend it to all daraz customers .,1
97,ek dum fresh thanks dfresh seller,1
98,The vegetable did not appear very fresh but wasn't spoilt either.,0
99,"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",0
100,fresh vegetables and great service with free delivery ,1
101,Fresh but little bit expensive then market ,0
102,"good quality and very good service of delivery, good fresh vegetables",1
103,Fresh vegetables at reasonable price. Dfresh is always recommended. ,1
104,It's spoiled. Very bad. You guys should skip that part of order if its not upto quality. Instead of sending it to customer. ,-1
105,"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1
106,therr were 2 types of cauliflower and ordered te better one and this is what I got. not good. ,0
107,"verr good service , excellent quality,  worth to order",1
108,happy customer always🤗,1
109,Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,1
110,"fresh and good quality
thank you daraz",1
111,the cauliflower quality was poor. very unhappy with the product,-1
112,Horrible stuff! ,-1
113,good but costly,0
114,Fresh Products,0
115,Now you are improving yourself 😉. keep it up👍,1
116,Very bad ruined cauliflower,-1
117,All good and fresh,1
118,A1 as always ,0
119,fresh,0
120,excellent vegetables and perfect quality thanks for the best experience of daraz shopping and highly recommend to all.,1
121,"NOW A DAYS DARAZ IS A NAME OF CHEATING, VERY POOR QUALITY, LESS QUANTITY, VOUCHERS ARE EVER FRAUD, EXTREMELY LATE DELIVERY, NOT RECOMMENDED ",-1
122,excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,1
123,Each & every item is under weight atleast 150 to 200 grams. This is really pathetic. Quality is satisfactory but weight is not accurate,0
124,All veggies and fruits were fresh and of good quality. this time cauliflower was perfect too. thnx dfresh. ,1
125,Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,0
126,I was worried the Cauliflower will not be good after reading the reviews but DFresh team has proved those bad reviews wrong. I have received fresh Phool Gobhi ,-1
127,"Unprofessional staff, delivery guys did not give a receipt and there was a quantity shortage. Daraz customer service is the worst I have ever witnessed. ",-1
128,"Quantity shortage in my order. Daraz is not doing anything about my complaint filed over 24h ago. I paid in advance, no receipt given with the order either. Horrible customer service.",-1
129,"seller sent rotten vegetables, vegetables were rotten from outside as well. the seller responded after 2 days and matter took 2 weeks to resolved after involving daraz ",-1
130,Its very disappointed 2 Kg gobi mangwai thi chota sa adha kilo ka phool bej diya ha very bad very poor service and  very disheartening ,-1
131,everything was of good quality and properly packed when delivered. Thank You Dear Team ,1
132,"very good and fresh vagitable ,good experience with daraz ,satisfied home delivery.",1
133,BEST QUALITY AND RIGHT ON TIME. MUST ENJOY. IM A REGULAR Buyer of this store.,1
134,"Always finds good and fresh products, recommended dFresh 👍

Thank U DarazPk",1
135,fresh vegetables but two days for deliver fresh items is too much,1
136,Excellent and fresh as always highly recommended dMart Lahore 😊,1
137,"dMart is superb, quality of products is excellent keep it up 👍",1
138,Great experience. fresh veggies. love it . surely order again.,1
139,Zabrdas... Fresh... Fine rates also have delivered on time,0
140,"Very Fesh will order again , Thanks Daraz. Thanks Dfresh",1
141,item was fresh as described. highly recommended seller. ,1
142,"As usual top quality n fresh thumbs up 👍 
satisfied ",1
143,i ordered 2kg cauliflower but receive onli 1 kg!!!,0
144,good sized and quickly delivered. thank you daraz,1
145,Nice n fresh. Surprisingly cheaper than market. ,1
146,Very good quality cauliflower delivered again ,1
147,i was delivered cabbage instead of cauliflower,0
148,Quality is good and fresh item was delivered.,1
149,fresh next day delivery.seller recommended,1
150,Delivery boy was rude otherwise all good.,0
151,fresh and clean highly recommend to all,1
152,very good and fresh from dfresh ..... ,1
153,Cauliflower was fresh and well packed ,1
154,good and fresh product from dfresh ,1
155,Very good Nd fresh product fresh,1
156,Excellent experience with dfresh,1
157,smaller in size over all great,1
158,Fresh vegetables... Thnk you,0
159,"It was good, upto the mark.",1
160,good very expensive ,1
161,very good product ,1
162,fresh and premium,0
163,Very bad quality ,-1
164,fresh as always,0
165,fresh as always,0
166,Fresh items on ,0
167,Fresh and Best,1
168,Good product ,1
169,best product ,1
170,Good quality ,1
171,Good quality,1
172,not fresh,0
173,Fresh. ,0
174,Fresh,0
175,fresh,0
176,same as shown in picture. nice product. highly recommend. packing was a bit poor. they rapped it in a cling foil,1
177,Same as shown in picture totally loved it will shop again inshallah☺,1
178,"shipping on time.i order red,black and white stripe baby floor seat but receive different .also very small in size.my 4month baby fit very difficult on it.",0
179,"Good material,buhat zaberdast item hai.but send me wrong color 😑",0
180,Same as shown in the picture satisfied thank you daraz recommended saller,1
181,beautiful and comfortable,1
182,quality is superb with reasonable price satisfied,1
183,Product is good 👍 for 8 Month old kid,1
184,Material is good but not good for baby of any age because baby will get too much tired. Seat posture should be relaxing.,1
185,i ordered red and black with white strip and they send me red and brown totally unfair.. not recommended,0
186,product is not as shown in picture. i received pink and brown color but i had ordered black and red. packing b theek nai thi jis ki waja sy item deshape ho gai hy.. ,0
187,"GOOD QUALITY SAME AS SHOWN IN PICTURE
VERY COMFORTABLE ONTIME DELIVERY 
THANKS SELLER & DARAZ",1
188,Too small in size for 4 months baby boy n uncomfortable ... Size should be mentioned,-1
189,"Pathetic Service
I order 2 pieces and they delever only 1 piece and charge for 2",-1
190,fantastic really nice stuff and my baby enjoy a lot thank you,1
191,"nice product, exactly same as shown n delivered on time",1
192,Both seats are of good quality worth buying. ,1
193,"same as recommend, gud quality & stuff,.. ",1
194,Good quality product our kid loves it.,1
195,Same as picture... Recommended,0
196,"seller has displayed picture of instant porridge but sent raw porridge neither shown in picture nor description, useless, returned",1
197,Very good seller and best product. ,1
198,pure product delivery in time,0
199,It's two weeks I ordered this but it's still fresh.Very good.,1
200,This is my first time buying  red bell peppers so I guess by the size they must be great on the inside too,1
201,"Very fresh veggies regular customer of.daraz day fresh very happy and satisfied thc.daraz
",1
202,Marvellous vegetables medium in size I liked it very much,1
203,A pretty expensive product but the picture shows bright red and what I got was brownish nothing of red bell pepper . Very disappointed from Daraz  ,0
204,I ordered fruits and vegetables two days ago. I received the order but of a very low standard. Mr Wahab delivered the order. Kiwi are all stale Oranges ordered were not red blood and very expensive Rs 425 per dozen. I think some one else is using your name. The delivery was in plastic bags and a dirty plastic boree. Totally disappointed ,-1
205,"Just as described, thank you!",1
206,Good quality and fresh ,1
207,super fresh as always,1
208,recieved really fresh,1
209,Super fresh and yummy,1
210,I love the pepper,1
211,cheap message,0
212,Train quality is perfect in this price bracket.. 👌👌,1
213,Delivery was quick but packing was not Upto the mark. Anyways nice experience from the seller. ,1
214,Received within estimated delivery timeline in a safe packaging. Product is original and got it in less than market price. Habib oil is the name of quality.,1
215,Delivery was quick but packing was not upto the mark. Anyways nice experience from the seller.,1
216,All okay. No problem at all. I purchased it for 1215 and received free home shipping also.,0
217,very good quality oil fast shipping great service,1
218,"Arrived in perfect condition, original product , good packaging.
Thanks dMart!",1
219,Purchased 2 packs in 12 12 sales with delivery charges free and payment discount on Rs 1040/- each. Received original and in fresh expire.. Thanku Daraz.,1
220,"Good quality, original products but the main thing i that i still haven't received my cashback 🙁, hope DARAZ will do it asap.",1
221,"Amazingly Fast Shiping, order yesterday 13th December and recieved delivery today afternoon 14th december.
Safe packaging, fresh stock.
Mfg date : 7-October 2020
Use with in 12 months. Till 7th December 2021.
Thanks Habib Oils
Thanks Daraz",1
222,Habib cooking oil is best for healthy life.Use habib cooking oil and enjoy beutiful life.kiuke yeh DIL ka mamla hee.Daraz is best for all shopping,1
223,habib cooking oil is one of the best oil in market.best for health and fine quality also good packing.,1
224,Best quality best price best packing good for health.habib cooking oil is the best.,1
225,Deliver oil in safe wraping and deliver in time. I recommend to others. ,1
226,good experience but one carton leaked,0
227,Ordered Habib Cooking Oil and delivered lipsticks and nail polish....,0
228,"received in two days, original product, well packing, 5 star rating",1
229,Habib oil pack received according to my wish. I am surprised to receive the original product from daraz platform. This product meet my daily requirement.   I found daraz platform reliable. Recommend to every one.,1
230,to buy Habib Cooking oil less then whole sale price is blessing these days which is only possible via Daraz. Thanks to supplier for safe delivery of oil,1
231, very fast delivery receive next day from order. properly packed. fresh product expire is far away satisfied,1
232,Received in very good packing on a very discounted price and more of all delivery was free. wonderful job daraz. i appreciate 😊,1
233,discounted price as compare to market. every month i ordered from daraz. allhumdulillah satisfied. with well packaging,1
234,Acha ha. Packaging b thek the. Original aaya ha company ki trf se.baki delivery charges ziada hain,1
235,Daraz mall is best option for shopping online. Original product and timely delivery service thanks,1
236,"thanks daraz, timely received my order,
i like habib cooking oil",1
237,"well packed, received in two days, low price, original product",0
238,"Original Product Fast Delivery
Got in best price during 12.12",1
239,"Original product.
Good quality.
Safely packed.
Recommended.",1
240,Original product received at discounted price. Recommended,1
241,Habib Cooking oil is a good product. It is a good choice. I am satisfied with the quality ,1
242,"Fast delivery ,packed very carefully,original product in discounted price,thanks Daraz ",0
243,"original product i like it
delivery was fast also",1
244,reached same as described...loving the taste and quality...recommended product ,0
245,Best quality cooking oil ever orignal product,1
246,Good Quality Oil but Pack Damage. Leakage of Pack. Need to take most safety 👍,0
247,"Original product received
recommended seller",1
248,"same as described, and got awesome discount on 11.11 sale. fresh manufactured",1
249,Quality product as described. Recommended. ,0
250,"excellent product fastest shipping  original item to
recommend 100 percent",1
251,"very good oil, orignal quality fully satisfied in low price thanks daraz",1
252,delivery before time. fresh product mfg date is just 1 week before. ,0
253,"free & timely deliever, well packing. original in reasonable price",1
254,original and timely reached thnx to daraz love to shopping daraz,1
255,Stock was fresh packing was good and timely delivered. ,1
256,"Frsh stock and cheaper than market price 👍
Recommend ",1
257,very good product 👍🙂🙂,1
258,Good oil and I received discount on daraz 1212 sale,1
259,Received within a day best services by Daraz PK,1
260,"acha oil ha.
well job done seller and daraz..,",1
261,"Price less than market.
Happy with purchase. ",1
262,Frsh stock and cheaper than market price 👍 ,0
263,Frsh stock and cheaper than market price 👍 ,0
264,"Received in good packing.
Thanks daraz💯",1
265,"Original product received. Recommended.
",1
266,Excellent. received correct product in well packing. great in taste Habib,1
267,Original product received. Recommended.,1
268,Thkns for daraz and very good product ,1
269,Got in discounted price satisfied..,0
270,Bought during 12.12 and received free delivery. Happy with purchase.,1
271,Original product from the trusted brand at a competitive price...👍,1
272,Thanks daraz for orginal product,1
273,thanks daraz well packed well delivered in excellent experience,1
274,"happy customer of 
Daraz❤❤",1
275,"perfectly packed and delivered in just 2 days, satisfied ",1
276,Good and Fast delivery.,1
277,Recomended. Satisfied ,1
278,Original thanks ,1
279,good product ,1
280,good product orignal and fast delivery,1
281,It's good price compare to market ,1
282,Quality Product Highly Recommend ,1
283,Bhai mayn ne koi 20 item ka order place kia tha. Kal se delievery start hui hay. abhi takk 5 courier walay aa chukay hayn aur item abhi takk incomplete hayn. Daraz agar ap vendor se order 1 jaga collect kar k 1 package bhej dayn to best hoga. Harr entry par gate se ja k inko lay kar aana hota hay. Totally irritating yar. Still waiting to recieve all the groccery items.,-1
284,"I was bit hesitated but the delivery turned out to be excellent. Original product and well packed by daraz and i got it for just 1000 rs on my credit card i got extra discount on 12.12 sale.
Happy customer
Highly recommended",1
285,product was good and good experience with Daraz Online. and i am satisfy with packing and delivery.  ,1
286,"It’s first time happened that daraz rider didn’t deliver the order and marked it delivered, suffered a lot and still waiting for the outcome. ",-1
287,very late delivery ..i purchased the same after 5 days of my order ..got order after 2 weeks...v bad.,-1
288,"high quality product with high quality services

thankyou and keep up the gud work",0
289,"nice product highly recommended, images couldn't be uploaded on app. thanks daraz",1
290,"Really good product in reasonable price, I appreciate daraz online shopping 👍",1
291,"nice product highly recommended, images couldn't be uploaded on app.",1
292,good price. came in perfect condition. double box. will order again,1
293,Quality is okay but it is little bit expensive from local market?,0
294,Excellent service excellent packing and superb discounted rates,1
295,"delivered within a day, original product + price is also good.",1
296,"bohat achi packing in time delevery good product 
thnkx daraz",1
297,item and packing was good thanks for draz mall is great!,1
298,Fast Delivery.  Fresh manufactured. Highly recommend ,1
299,nicely packed timely delivered and quality is same,1
300,It was a perfect product with excellent quality.,1
301,100% original..Recommended..quick delivery too,0
302,"Well packed, bit late in delivery, satisfied. ",1
303,delivered as Shown in picture good experience,1
304,"Good quality, good experience, recommended. ",1
305,"timely delivered 
well packed
good quality",1
306,thanks daraz fast service original product,1
307,orignal product aur packing bhi achi thi.,0
308,best quality.. best packaging material ,1
309,Damaged cartoon... oil spilling out..,-1
310,Quality was good. Was Fragile Packed,1
311,best oil ever with fabolous service,1
312,best promotion very fast delivery,1
313,"Good quality, delivery in 2 days.",1
314,I did not receive 12%cash back. ,0
315,best quality beautiful packing,1
316,fast delivery highly recommend,1
317,thanks for the good service,1
318,Good quality product.,1
319,Good quality product ,1
320,best choice for habib,1
321,Habib oil is the best,1
322,same as shown in pic,0
323,Good product ,1
324,Good Product ,1
325,good product,1
326,recommended,0
327,Perfect. Thank you ,1
328,"Please contact me as I can not contact to u the chat option doesn't work, I want these teet in 4, bt you send 1.. I want that again please contact me",1
329,didn't get the original teat. even the number of teat is 1 whereas i requested for 3. seller said it was original but it came without any pack in a random shopping bag. ,0
330,Original product and cheap then the market rate but I ask for size 3 and they send me size 1,0
331,product was wrong,-1
332,"when received they were bully and bulky but with time they are fine now, and as they are life time warranty then no need to worry. good choice in this price
thanks",0
333,"Very good quality. I bought Gao pillows from him earlier and found quality very good. Then again ordered these pillows. Masha’ALLAH very nice quality. However, size could be increased for some inches. The pillows is small size while Gao pillow was good large size. ",1
334,the quality of pillow is good let's see after usage we can actually committ۔still it's quality is satisfactory,1
335,awsom quality pillows same as shown on add recommended thanks seller thanks daraz,1
336,Nice n soft delivered on time. So far so good. Thank you ,1
337,good quality satisfied 😊 delivered little late,1
338,Thanks perfect pillows and very nice to sleep,1
339,satisfied with the quality delivered on time,1
340,Pillows were good in the price bracket👍,1
341,received same very good,1
342,Good quality and soft,1
343,soft and good stuff,1
344,Packing is good quality is good.,1
345,"Good in this price, well packed",1
346,same to same buy expensive h 240 ki 5 with delivery🤬🤬,0
347,Exactly like shown😍 and they sent me 5 ❤️,1
348,good quality in this price...recommended ,1
349,size i small but quality is excellent,1
350,very good quality.,1
351,Working good and product is amazing,1
352,"same as shown in picture , quality good. fast shipping . recommended seller . packing was good.",1
353,product is very nice Quality is also good Safely arrived at my home town  hightly recommend love with this product Thanks daraz and seller God bless uh highly recommended 🥰🥰,1
354,"awesome product same as shown very comfortable very easy to use, highly highly recommended...... thanksssssss",1
355,awesome product best results wereobtained. how ever it looked like package was opened before sending it,1
356,product is s described. bottle and nipple along with it is just like any other quality product. highly recommended. ,1
357,"What a great product ..... Good result
I recommend to every mother buy this and use this and make your job easy like me.

Also thank you seller for selling this product at very affordable price",1
358,owsome produced easy to use good quality in this price tag thank you seller and also daraz ,1
359,product quality is awesome 👍 fast delivery i recommended this seller,1
360,"Wonderful experience with daraz and seller too
Recieved just as shown",1
361,"100% same received . Working Good
Made my Job Easier
Recommended.....",1
362,"This is best pump I have ever used and  have tried 3 different kinds. 
Its a life saver, portable, very easy to use, very gentle, you control the pressure, very fast: got 1.5 ounces in 10 mins. The leaflet mentions a dust cover but its not provided, so after use, I wash it and  just keep it in the box for now. Dust cover would have made it worth 10 star ",1
363,"The same product is available at higher rates in market.. received the parcel before time. loved the reasonable rates of the product,  loved the packing and quality,  loved its working and highly recommended to all mothers.. ",1
364,This is just awesome. Every newbie mom must need this product. Delivery was very fast. 👌💯 Highly recommended.,1
365,poor suction power because of defected part as you can see in this picture ...i have wasted my money ,-1
366,"it's worth buying. works well, generates enough action to accumulate 30 ml of milk in 20-25 minutes.overall satisfied. delivery time was more than expected otherwise received as shown and intact.",1
367,Looks like a really great product. Quality is good as well. Thanks,1
368,"Good Quality and good price 
Thank You Seller 
Recommended seller and recommended product 
👍🏻👍🏻",1
369,"original product, price worth, suction power is also good. Must Have Product
best to use when hav good supply coming. it takes approx 10 to 15minutes to fill bottle for 30 to 40ml when supply is full. Pakistan  me useful islye bhi hy q k light ka issue rehta hy to her wqt electric ump useable nhi reh pata, plus electric k lye ek corner chahye hota hy jahan switch board ho to kaafi problems hoti hyn. Manuao me thora time zada lgta hy but ye manual kaafi acha hy. 10/10 ❤
in this picture it took approx 20 minutes to fill 70ml (when supply was full)
BONUS POINT, it comes with cap and nipple bottle which is so soothing n comfortable for babies.
just cant believe it has such a great power with no pain. YEAH ITS PAINLESS ❤❤❤❤❤❤❤",1
370,Its a good product and working also properly but quality of plastic feeder should be better.,1
371,Exactly as advertised. Delivery was quick. Thumbs up !,0
372,"Received Same as described 
5 stars for product and seller 
Thank you very much",1
373,"great service, quick delivery. not to mention the product is absolutely amazing and convenient. thank you.",1
374,"nice product and very effective 
fine quality
",1
375,"Fully satisfied by the working of this pump.
",1
376,does not contain 1 2 and part 4 so it is just for sucction and not for massage,0
377,Very nice product. Very Happy to bought it.,1
378,"Amazing functional product considering the price. Received as shown. Satisfied 10/10. 
A little note for other mothers wanting to use this device, start lightly and increase the speed of pump gradually, gives best result. may your baby feel full and satisfied Ameen ",1
379,Such a useful thing in a low budget ☺️,0
380,amazing product in low price 😊😊😊😊,1
381,recieved my parcel. exactly the same as shown in picture. good quality,1
382,"Wow.....
It's working good and have amazing price 
Thank you seller for giving me good product and good service Recomemded product and seller
👍🏻👍🏻👍🏻🍼🤱",1
383,Gd product very helpful for new mothers highly recomended,1
384,"Very nice product
Recommended for all mothers ",1
385,Good but price is a little hogh,0
386,Same as shown,0
387,It has no manual or instructions paper. Quality is little bit low. Working well. Delivered on time. ,0
388,Outclass good product. ,1
389,Nice product in this price range. Especially impressed by the cooperation and communication of the sellers and would like to purchase from the same seller in future. Thumbs-up ,1
390,"disappointed.. they just send me a single plastic feeder bottle without any pump, that is useless for me. box inside the package was opened. delivered in time.",-1
391,totally wastage of money.. there is no pressure build thing in it + low quality of feeder plastic not recommended at all,-1
392,"its amazing . working very well .market mein ye hi manual pump 4000 ka mil rha hy.i recommend every mother .it is not 
costly",1
393,this pump is truly a blessing for all the new momies who finds difficulty in feeding....it's completely painless and easy to use.. thankyou seller for sending the best thing..,1
394,Useless Hy .Bottle mai aik Cheez km Hain  only feeder K tawr P use ho Sakta Hy. pump K tawr P nhi use ho sakta,-1
395,is price main bht achi product ha or 100% real ha jo olx pr ha wohi delivered kia ha ..but 1 question ha agar is ka diaphragm damage ho jaye to new mil jaye ga?...,1
396,As shown in the picture.. Up to the mark.. Good experience so far  from the day of unboxing. Easy in use. ,1
397,Exellent exellent exellent.. Jizakallah such a useable n comfortable. And great quality in. This price. ✨✨✨✨💯,1
398,it really works.... thank you so much for the best product ☺️.... I recommend t every mom who's facing feeding issues,1
399,"good quality product in such price.👌
useful but as it is manual so it demands time.
i would suggest to mommies who are reading review for guidance, if you need to have a pump to save time then must buy electric pump. manual needs time and hath bhi thak jata.",1
400,its good but a little not too sturdy.. it has good suction and it's very reasonably priced but it might break if handled irresponsibly.,1
401," this model does not contain 2,3 parts(breast cushion and dust cover) 
overall very easy to use
good quality in a reasonable price",1
402,"Received the shown product with good condition and quality, reached to my home before the said time. Best service.",1
403,yar bohat he achi cheez ha ameed nai thi but yah bohat achi nikli first time many online daraz sy order kiya but very good ha daraz thank u daraz pk thank u so much,1
404,bht acha experience raha or upload photo ka option he.nahi chal raha mery pass pata nahi Q lekin mjhy bht theek laga ,0
405,"worth buying,good product as same as shown in picture,
on time delivery nd seller is very cooperative.",0
406,Good seller but very bad product! I wont recommend this pump to anyone...its very painful and the pumping is too slow... i have used Farlin manual pump which is perfect...but this one is really low quality ,-1
407,"Same as shown , low quality , mere use mein hi nhi ayi rubber loose hojata hai suctiin hi nhi banta😔😞waste of money",-1
408,"the product is great and really helped us. but over time the suction is no more the same and its loosening. 
is this due to the Duckbill valve? its very hard and takes so much time with little result. ",0
409,"Its painless... and very helpful 
I recommend to buy every new mom. 
Must follow the instruction and sitting position. While using this. 
It gives wonderful result when u are full. 
In this pack cap of pump was not available 
",1
410,The pump is reasonable but very exhausting to use. The included bottle however is very high quality. Overall is fine is you want to pump milk for collection.,0
411,"Thanks God I had this. I advise any pumping moms to buy one, just in case you need to pump on the go.",1
412,I am glad to see this thank you very much same as shown in this picture and quality also very good ,1
413,"Good quality, same as shown in picture, dilevery on time, overall good experience, Thank you,.. ",1
414,I'm Not satisfied with product quality is very poor I'm not recommended just waste of money. ,-1
415,the product was completely useful. and the price was also very reasonable.. highly recommend,1
416,Its really a best product and it works better for baby feeding any one buy and use it ,1
417,Good quality with very reasonable Price. Same as shown in Picture. Fully satisfied.,1
418,product is good by material and quality. ...happy with the product in this price ,1
419,excellent I recommend to all mothers its too easy to use am satisfied thanx daraz,1
420,The product is amazing! Its really convenient to use and gives amazing results ,1
421,"Alhumdulilah got my parcel and seriously its amazing💕
5 ⭐⭐⭐⭐⭐ for seller",0
422,Delivered on time. Nice product. 100% matched with the listed product.,1
423,This pump works great!  Loved it. Timely delivery and great product.  ,1
424,received on time. same as shown in picture. Happy to shop from Daraz.,1
425,it's not working...just wste of the money. tell me how to return it,0
426,Super satisfied!!!Amazing quality in such reasonable price😃Glad,1
427,recommended useful for new mothers ... product quality is good,1
428,same as shown in picture 👌👌👍 very useful...easy to use . ,0
429,Good quality product. Very handy and reliable. Recommended ,1
430,highly recommend amazing products thnks for fast delivery ,1
431,Not beneficial in my case however build quality is good. ,0
432,Product is same as described. Thank you daraz and seller.,1
433,Product have good build quality. Pleased with purchase,1
434,delivered on time as well as the same shown in picture,0
435,Amazing product same as shown.. Works perfectly..  ,1
436,Delivered on time good quality as shown in picture.,1
437,Safe and perfect .. recieved in just 2 days 5 stars,1
