Review,Sentiment
usay 4 din baad mil gaya  warranty card bhi shaamil hai  asli simsng mohar ke sath chairr chhar ki gayi thi lekin aik aur mohar barqarar thi  majmoi tor par acha tajurbah  ab tak koi masla nahi hai  aik shafaaf cover bhi shaamil hai  ,Neutral
me ny socha nai tha k 3 din me  phone a jya ga bhot acha tha pura box band tha bhot achy daraz,Positive
shukriya daraz apka product 100  orignal tha,Positive
order 2 din mein haasil karliya  lekin mein mobile ki mohar ke baray mein qadray mutfiq hon kyunkay wahan do am and pi sale mojood thay jin mein se aik pehlay hi khuli thi aur un dono muhroon ke neechay simsng neh aik aur mohar laga di thi ke agar mohar toot gaya hai to yeh baat qubool nahi karti hai aur yeh toot gaya hai  baichnay walay ko yeh bhi zikar karna chahiye ke woh kon sa model farokht kar rahay hain jis mein s am 960 f   d s hai,Negative
" yeh har aik ke liye aisa zabardast tool hai jo mustaqil tor par chal raha hai  mein mutadid aliktranks le kar aata hon aur jab zaroorat ho to sakt mein un sab ko plug karna aaasaaan hota hai, aur yahan kahan hai? yeh aaasaaan ho jata hai",Positive
"quality sab kuch hai aur mujhe khushi hai ke am aayi ka power bank khud se charge rakhnay mein aur mere phone par bhi bohat aaccha kaam kar raha hai  5000 am ae each ke l  it, yeh vaqata good aaccha hai, mere phone par do baar charge karta hai aur is ki minofikchrng ka miyaar bhi bohat aaccha hai",Positive
"glass muhafiz aur naram case back ???????? dono waqai achi terhan se tayyar hain, aur jab se mein ney box khoola, mein ney jo kuch pohanchaya is se mutmaen hogaya  bilkul tayyar, bohat mazboot, aur mein usay yakeeni tor par qabil aetmaad kahoon ga kyunkay yeh ab taq kaam kar raha hai aur yahan taq ke sab se ziyada garam dinon mein, glass bhi nahi phataa hai  ",Positive
bhot bura phone hai is ki battery sai hai lakin screen tooti hoei hai aur touch b sai kam nai kr rha ,Negative
ya kafi faydy mad h mry lya kafi achi device hai,Positive
bhot ala headphne hai quality b avhi hai aur 3 ghanty ki battery timing b hai,Positive
"barah karam mein sanjeeda hon, yeh nah khareedain    un mein ziyada se ziyada imkaan hai ke woh aap ko is"" p15"" ke bajaye ghalat numeral den ge, jo head phone mujhe mila hai usay"" astodyo s170"" kaha jata hai aur is mein aaks kibl bhi nahi tha  is ka jhoot",Negative
waqai mein bohat aaccha hai aur mujhe yeh pasand hai kyunkay mujhe is par moseeqi suneney se lutaf aata hai  head phone ka miyaar bhi aaccha hai aur mein usay pehantay hue hamwar mehsoos karta hon  kisi terhan ki jalan ka sabab nahi bantaa hai  mein neelay rang ki terhan bhi karta hon  yeh aasani se mere phone ke sath munsalik hota hai aur mein ganoon ko aasani se tabdeel karsaktha hon aur mutlaq sahoolat ke sath hajam ko tabdeel ya mourr sakta hon  mein chahta tha ke battery ka waqt ziyada behtar hota lekin mein ab bhi kharidari se mutmaen hon,Positive
mujhy is ki cable nai mili is k daby me,Negative
"yeh head phone apni qeemat ke mustahiq hain  mein ne 3d film dekhnay ke liye  apne ail ?? d ke sath sirf aik baar is ka istemaal kya hai aur mera tajurbah herat angaiz tha  aawaz ke miyaar aur kaan ke ird gird aram da aur pursukoon fitting se mohabbat karta tha  is ke ilawa, is ka ??????? range bohat aaccha hai, kyunkay mein apni ail ?? d se bohat daur tha aur phir bhi is mein koi mudakhlat nahi mili  mawaad bhi aaccha hai  majmoi tor par yeh aisi behtareen cheez hai jo aap ki qeemat ki hadd mein hosakti ha",Negative
"yeh lajawab hain! yeh herat angaiz tor par qabil samaat hain aur khushgawar jamaliaat hain  woh pahannay mein bohat aaraam da hain mere phone ke ??????? ke sath jaldi se mutabqat pazeer aur un head phone ke barey mein sab se umdah baat yeh hai ke woh kisi bhi taar ke sath nahi atay hain jo werzish ya chalanay ke douran aap ke pasandeeda music se lutaf andoz hotay hue aap ko ulajhti hai ya pareshan karti hai, is se meri jim mein pareshani se pak music se lutaf andoz honay ki zaroriat poori hojati hain    mein neh moseeqi ki mukhtalif snfon ko aazmaaya hai aur mein moseeqi ki har tafseel se lutaf andoz aur mehsoos karne ke qabil tha",Positive
dosray ke baaray mein nahi jantay lekin meri pi 15 ki battery 2 hafton ke baad faut hogayi agar mein is se charge karta hon to head phone bohat garam hojata hai jaisay yeh phatnay wala hai aur mujhe nahi maloom ke mein is ki jagah le sakta hon ya nahi lehaza jawab den,Positive
me bhot kush ho is ko ly k,Positive
me dekh rha ho k kuch order kro daraz sy,Negative
thumb grip lya hai achy hai lakin picture me kuch aur chez dekhai hai aur ya orb sy b nai h,Positive
item acha hai me sb sy kaho ga k ly lo,Positive
"yeh aik achi numeral hai     sirf aik masla yeh hai ke mujhe  apne hukum se yeh mila hai ke design ke angothay ki do laathi hain, lekin mujhe aik hi design ki charon cheeze mil gayeen  ",Positive
me is ko istemal kya aur ya bhot achy hai,Positive
phone acha hai lakin kafi mehanga hai bahr ki market k mukabaly me,Positive
  translucent case  nai h daby me,Neutral
ya kafi acha phone hai asa mobile aur kahi nai h,Positive
""" pi s 4 kntrolr girift mein bunyadi tor par mere angothay aur ?????? stick ke mabain ragar muhayya karta hai taakay paicheeda ????? injaam day saken jis mein mukhtalif harkato ki zaroorat hoti hai  lehaza yakeeni tor par ghanton gimng ke baad mere haath paseenay ho jatay hain aur yeh meri satah taq khelna mushkil hojata hai  aik bohat hi umdah saakht jo mere angothon ko apni jagah par rakhnay mein muawin hai  ",Negative
ya bhot acha tha aur mujhy is ki grips ki quality achi lagi bhot,Positive
mere jaisay paseenay walay haath walay logon ke liye thumb stick girift bohat achi hai  mera anghutha hamesha chhari se waisay hi phisal jata tha lekin shukar hai ke yeh paseenay ke angothay ke sath bhi mazboot girift muhayya karta hai  mazeed yeh ke mein yeh haqeeqat pasand karta hon ke jab aap pehli jori pehantay ho to aik izafi jori bhi shaamil hoti hai  mere kntrolr ke ilawa achh addition? izafay ki wajah se khud hi chhari ki majmoi zindagi bhi barh jati hai,Negative
ya phone wakai bhot acha hai,Neutral
bhot acha phone h khas tor b fringer print sensor aur daul cam ,Neutral
audio ki quality bhot achi hai aur base b,Positive
audio bass wali h aur case ki quality bhi achi h ,Positive
achi quality aur achi awaz hai maza aya istemal kr k,Positive
is ki keemat kam aur bhot achi chez h us sy ziyda hai jo me ny maaangi thi,Positive
saf awaz  aur achi base bhot achi qualty k sath,Positive
ya acha nai hai bhot mayos kya inflix ny inflix samrt bhot acha hai smart 2 sy,Neutral
is keemat me range awaz ki bht buri hai,Negative
aik din me product mil gya orignal seal tha aur price b kam thy market sy,Negative
ya sb sy acha phne h ab tk,Neutral
hbl feast sy phone lya jo bhoooot acha hai,Neutral
"daraaz ke zareya zabardast khidmat  mera package 2 din ke andar mousool hogaya  aur mobile 100 uine haqeeqi aur sale tha, jis cheez ney mujhe sab se ziyada pareshan kya  shabash daraaz? ?? ?",Positive
ya acha tajurba hai daraz sy chezy leny ka,Positive
arrey! nokia team       mera naam muther ahmed hai aur mere paas youtube channel hai aur mein aap ki masnoaat ka jaiza lena chahta hon  mera youtube video        youtu  be   y61vwthmig0 ka link yeh hai  mera ?? mil,Neutral
awaz achi bettery timing b achi hai zaoor kharedy ,Positive
bhot acha h ya quality b bht achi hai aur battery timing b,Positive
"yeh waqai aik acha phone hai  screen, karkardagi, khususiyaat, camera, aawaz, battery, sab bohat achay hain    baichnay wala bhi bohat taawun karta hai  ",Positive
""" islamabad mein aik din ke andar yeh aala masool sun hwa  ",Positive
"shandaar phone khaas tor par qeemat di gayi hai  aik karkardagi ka muzahira karne wala janwar aur dish charger ke sath adhay ghantay ke muawzay mein aik din ke liye jana achchhaa hai  zabardast ?????????, taiz sun hwa chehra aur finger print ?????  stock android tajurbah ke qareeb waqai parcham bardaar qaatil honay ke liye saakh ke mustahiq hain ",Neutral
mein ny aaj yeh phone khareeda hai aur yeh is behtareen phone hai jo aap ko is budget mein mil sakay ga  behtareen karkardagi  kam roshni wali sorat e haal mein kamera itna achchca nahi hai  warna aik achchca soda hai  ,Positive
mein ney abhi yeh phone khareeda hai aur mein is ki karkardagi se waqai herat zada hon ke lafzi phone kabhi hang nahi hota hai  8 jee bi reem aur camera quality wala snap drign processor bhi kaafi herat angaiz hai  ab chunkay hum mein se bohat se logon ney yeh phone khareeda hai mein sirf umeed karsaktha hon ke is ki market value barqarar hai  sab kuch bohat achchca hai mein is ki tawaqqa nahi kar raha tha ke bohat si khususiyaat ki lafzi tor par is ney bohat saaray aadaab mein aayi phone x ko shikast di hai  ,Positive
mein ne aik saal ki guarantee ke sath yeh pakd box mein haasil kya hai  lekin yeh sale phone thora sa mehanga hai  yeh pachaas kilometer ke lag bhag hona chahiye  ,Negative
""" one plus 5 tea ko budget ke parcham bardaar qaatil ke tor par jana jata hai
kya baat hai agar is ki qeemat itna hi hai jitna aik parcham bardaar
qeemat ziyada se ziyada 50 k ke lag bhag honi chahiye  """,Negative
"mein ne usay sirf 15 din mein khareeda hai is se pehlay ke 73k an d mein ab is ki qeemat mayoos kin hai """,Negative
mujhe yeh behtareen thanda ????? free miyaar ka mila hai  achi aawaz  ,Positive
yeh air phone bohat acha hai aur yeh sanchay bhi bohat achay miyaar ki hai,Positive
yeh super bees ????? free behtareen hai  yeh waqai super ???? bees mean hai        is se pyar karen,Positive
aawaz aur khatam herat angaiz tha  ,Positive
herat angaiz choti choti cheeze  zabardast boss aur zabardast aawaz  shukriya  ,Positive
"caring case rakhna aik achi cheez thi aur mein aisi cheez talaash kar raha tha jaisay mein ne case nah honay ki wajah se  apne beshtar ?????? ko kho diya tha  wazeh aawaz aur boss ki aik achi miqdaar ke sath audio ka miyaar bhi achchha tha, lekin koi maskh nahi sun hwa tha aur kaan ke tukre dhaat ke murakkab se banay they jo aik achchha lams tha, aur itni achi qeemat ke l  i mein usay har is shakhs ko wapas karta hon jo up grade karna chahta hai  ya un ke puranay ?????? ko tabdeel karen  mayk ka miyaar bhi bohat wazeh tha aur cal same up button mere simsng s 7 ke sath bhi kaam karta tha ",Negative
ya 50 hazar me b mil sakta hai,Neutral
acha kam kr  rha hai slim hai aur features b thek hai,Positive
mujhe kal phone mila  packing behtareen thi aur lawazmaat bilkul theek thay  mein ne raat ko  apne phone ko charge kya aur ab aaj yeh charging cable kaam nahi kar rahi hai! mein bohat mayoos sun hwa !,Negative
phone thek hai lakin processor kfi high quality ka haai,Negative
phone aacha hai lakin infinix ki bttery kam hai,Negative
ground lick round karnrz light uch d? uch d? daraaz ki kharidari lekin bohat hi battery battery sirf 7 ghantay chalti hai,Positive
"haae, mein is ki masnoaat ko bohat pasand karta hon  agar aap mujhe muft namona bhaijtay hain to mein is numeral ko  apne facebook account aur  apne youtube channel par farogh day sakta hon ",Positive
mri kuwaish hai k ya phone ly lo,Neutral
"daraaz ke zareya usay dost ke l  for pareshan kya  woh is se mohabbat kar raha hai  battery ka waqt achh  a hai, aik din mein aik hi charge ziyada rehta hai  dono ( samnay aur peechay ) kimps ke camera nateeja ko pasand kya  ",Positive
pasy pury hoya me zaroor kaho ga k ya phone ly lo,Neutral
me ny note 8 ly hai lki usk auto rotaate aur gysro sensor kam ni kr raha sai sy,Neutral
jaldi mil gya aur phone b acha tha shukriya daraz,Positive
sb kuch is phone me bhot acha hai,Positive
agly din  mila bhot achi quality hai shape b achi aur bki sb bhot acha hai,Positive
me ny 12 july ko order kya tha aur 13 ko mil gya bhot acha phone hai,Positive
3 july ko is phone ka hukum diya    6 july ki subah usay masool sun hwa  sab kuch bilkul kaam kar raha hai aur is ka back cover bhi mila jis ki mujhe tawaqqa nahi thi  masnoaat ki khidmat aur miyaar se bohat khush hon  ,Positive
ya bilkul cahrge ni kr rha aur waha likha tha k acha charge krta hai mujhy pasy wapis chya hai,Neutral
bura hai kam nai kr rha  buri bat daraz,Negative
ya 1 5 incha ka hai acha kam kr rha hai,Positive
quality ur pasay bhot achya hai,Negative
wire ki lengh b thek hai aur quality b achi hai,Positive
yeh herat angaiz phone hai  ????? design  sab se acha hissa tarseel ka waqt tha  mein nay? usay sah pehar teen bujey order kya aur aglay din dopehar 2 bujey pouncha diya gaya ,Positive
mein no muwasilat 5 se nokia 5 aur is ke lawazmaat khareed raha hon aur wahan mujhe bohat hi kam waqt muhayya hota hai aur numeral tawaqqa se ziyada aur behtar hai  ,Positive
nokai 5 bhot bura phone h storage nai h is me  apny pasy waste na kro is p,Negative
mera phone band ho gya aik hafta use k bd,Negative
aik majmoi tor par uch good? tajurbah jaisay ke phone mein mazkoorah baala tafseelaat aur khususiyaat se bhar poor andaaz mein masool hota hai     shukriya daraaz aur tally naar,Positive
aik hafta ke sath mein ne meri masnoaat haasil ki  umdah ????? aur taiz khidmat  mein munasib qeemat mein is numeral se bohat mutmaen hon  mein daraaz ka bohat mashkoor hon,Positive
achi qulity ka phone hai aur keemat b kafi kam hai,Positive
mobile v  good hai  yeh pesey mein sasta aur miyaar mein aaccha hai  aik sasta mobile honay ke ilawa mobile mein 8 am pi back aur 5 am pi front kamera hai  mobile mein ????????? version have hai  yeh aik achi alamat hai  kyunkay sastay mobile mein ????????? version get milna nayaab hai  mein ???? ????? hon  mein naay mobile ka tajurbah kya hai  yeh bohat aaccha hai  is mein 16 jee bi room hai  aur 2 jee bi raam  aam mobilon ki terhan  isi terhan ke deegar mobile 15000 taq hain  aap ko usay khareedna chahiye,Positive
varnti card aur har cheez mein ab tak sab se oopar hai,Positive
achi keemat bank alflah discount b dy rha hai,Positive
"  mein nay? pehlay 4 thisishypenhere garam 4, 1 thisishypenhere garam 5 aur 1 thisishypenhere note 4 khareed liya  mere aakhri tajarbay ke mutabiq, yeh garam, shehwat angaiz 6 piro behtareen hoga",Positive
"mein chnyot se aakhri qareeb order karta hon aur aglay hi din order wusool karta hon, ????? asli aur mukammal tor par pack hai  ",Negative
acha phone hai lakin mila thori dar sy hai,Negative
kafi acha phone hai aur features b achay hai,Positive
"box mein muhafiz behtareen miyaar ka nahi hai, yeh sheeshay ka muhafiz nahi hai, draz dot pi ke par ????? show glass ????????",Positive
"uuuuuururrvvvl mera naya phone! bomb chashmi , herat angaiz qeemat nuqta, aur mujhe khobsorat flask aur khobsorat muqarareen bhi pasand hain jo is ke sath tohfay ke tor par aaye thay  ???????!  3",Positive
daraz sy khareda hai aur me bhot mutmain ho is sy,Positive
ya sb sy acha phone hai infinix k sb phones me sy,Negative
4000 star 4000 mega battery ??????? ke liye jo aap baar baar chattaan karte hain,Neutral
3 4 din me a gia h aur speed bhi achi h price k lia   ,Negative
ya cable mry phone ko jaldi chrge nai kr rhi ,Neutral
2 din me mila aur sai kam kr rha hai,Positive
speed achi hai aur kam b bhot achy sy kr rha hai,Positive
me ny new phone aur y bhot acha kam kr rha hai,Positive
me ny is ko istematl kya aur acha kam kr rha ya,Positive
am aayi note 4 bohat sust charge hai aur is mein 3 ghantay se ziyada waqt hai  sale charging ke douran yeh bohat garam hai lehaza larke kharidari se pehlay sochte hain aur ost set bhi karte hain lekin daraz  pk khidmaat bohat achi hain,Positive
sb kuch bhot acha aur camra bs thek hi h,Positive
"yeh bohat acha hai aur umdah mobile daraaz bohat mufeed app hai mein bohat khush hon daraz  pk"" daraz  pk ke zariye sab se barray 4 malik mein mobile khareedna",Positive
bhot achy wakt p mil gya hai aur y deal b bhot achi hai,Positive
mujhy mia1 chya kya ap mujhy asan kisto p dy sakty hai,Neutral
me ya phone salo sy istemal kr rhi ho ur ya acha phone h rozana istemal k lya,Positive
acha phone hai lakin mujhy kam keemat p chya,Negative
mein ney pi 8 khareeda hai  yeh acha mobile hai lekin ab is ke software ko up date karne ke baad mere paas 16 jee bi mein se sirf 6 jee am free mimori hai  yeh karkardagi aur battery ke waqt mein acha mobile hai  ,Positive
"??????? ki tamam masnoaat ki alla sahet yabi se un ki qeematon mein khobsorat chashmi hai, lekin mein delivery service se khush nahi hon, daraaz express numeral ki farahmi mein taqreeban a aik hafta laga, lehaza angothay is ke neechay aa jayen ",Positive
"is hadd mein achh build? bil build?? quality, kamera, karkardagi aur battery ka waqt rakhnay wala behtareen phone  is terhan ki masnoaat ko muta arif karwnay ke liye usay daraaz team ko jari rakhen",Positive
acha phone h kam price me camera bs thek hai aur processor b kafi fast hai,Positive
signal ayntina is phone se kamzor hai camera ost se bhi kam hai  sab se achi cheez triple slat tray hai,Positive
ya phone bhot acha hai touch kafi s mooth hai,Positive
ya bhot acha phone hai koi bt ni agr china ka bana h to  baki wsy acha phone hai,Neutral
me bhot heeran ho inn ki prodect bejhny ki speed sy aur product b bhot achi halat me hai,Positive
yeh aik herat angaiz mobile hai  mein ne pehlay hi aik khareed liya hai aur istemaal kar raha hon  is ko hbl shop feast mein khareedain  is terhan ke herat angaiz discount shopping fistyol ki paish kash par daraaz ka shukriya  ,Positive
"mein guzashta 3 saloon se ????? honor 3 si istemaal kar raha hon, lekin mustaqbil qareeb mein mera programme ????? note 5 ae khareedna hai  jo kam qeemat mein acha phone hai  ",Negative
mein aaj ke ird gird 00  30 par order deta hon  24 ghanton mein numeral masool sun hwa  bohat jald dilyori service daraz  pk se discount ke sath 5? kehte hain  mein is numeral ki karkardagi se khush hon lekin is ke kamera performance se mayoos hon  warna mein doosron ko bhi is qeemat mein is ki qeemat ada karne ki tajweez karta hon  shukriya,Negative
achaa hai lakin keemat kai ziyda h is ki,Positive
"mein simsng aur phir aayi phone ka sarif tha, lekin is ke baad mein koi dosra phone khareedna pasand nahi karta, one plus bohat hi zabardast hai",Positive
acha product hai lkin back cover nai mila galss b aur handfree b ni h,Positive
mehangay honay par tanqeed karne walon ko yeh maloom hona chahiye ke one plus ke paas pakistan mein koi store   frnchayz nahi hai aur usay daraamad karne mein paisa lagta hai  is ka chehra lock hai aur finger print scanning dosray number par hai ( yeh aayi phone x ki nisbat chehra lock ka istemaal karte hue taizi se khula hai )  ???????? azeem hain  sab kuch yeh aik hewan hai  ,Positive
""" waqai mein kya aik mobile       har pehlu se bilkul durust hai lekin qeemat 8 jee bi raam aur 128 jee bi bohat aasaan hain",Positive
achi chez hai lakin delivery slow hai back cover aur glass nai mila,Negative
"mehanga honay ke bawajood aur isi terhan ki chashmi 6 mili meter ke bawajood, is ki gimng salahiyaton ne usay taweel faaslay se shikast di hai lehaza gimng ke l  i mein kisi aur phone ki sifarish nahi karta hon, qeemat thori ziyada hai lekin 128 jee bi internal aur head phone jack bara plus hai  ",Negative
"aik mahinay se is phone ka istemaal karte hue, kabhi kabhi ta attul ka saamna nahi karna para, battery ki zindagi bohat hi umdah hai, dekho aur mehsoos karna bohat aaccha hai, mujhe lagta hai ke yeh sayarah par  apne behtareen phone w  r  t par har pehlu par hai  ",Positive
is qeemat mein zabardast phone  great kamera aur battery ka timing  sirf chand hi ghanton mein fari dilyori,Positive
bohat achi pi each an ki speed achi lekin bohat achay camera jaisay charge karne par bohat garam  ,Positive
bhot achi speed hai product pouchany ki tcs k zariya aur 5 stars    delivery k lya aur phone k lya b,Positive
agar aap pakistan mein dastyab qeemat ke tehat is ki khususiyaat ko dosray sab se mawazna karte hain to aap ko khardney ke liye aik wajah mil jaye gi  ,Positive
1 start delivery k lya aur 5 star phone k lya,Negative
"pakistan mein kisi bhi phone ke liye super fast delivery, umdah phone, zabardast camera, zabardast battery bardasht, behtareen qeemat ki karkardagi ka tanasub   ",Positive
"tarseel ke liye 3 setaaray jis mein 6 kaam ke din lagey, majmoi tor par bohat acha budget wala phone hai jis mein umdah tamirati miyaar aur zabardast chashmi hai  ",Positive
bhot acha phone hai aur baki sb chezy b bhot achi hai,Positive
umdah tamirati miyaar lekin mera mahswara hai ke redmi 5 ke liye jana hai jis mein aik taaqatwar si pi you aur finger print sensor aur aik hi qeemat mein aylominim frame hai,Negative
bhot achi awaz hai battery b achi h,Positive
"yeh aik aisa brand hai jis se mein bas itna pasand karta hon  kamera, battery aur karkardagi se herat angaiz  mera mahswara, ,, kharidne ke liye jana",Positive
"mein nay? yeh aala daraaz par khareeda, waqt par pouncha, poori karkardagi aur achi nazar se poori terhan mutmaen, mohabbat ka haath hai, intehai halka wazan",Positive
amazing phone mein bohat taizi se processor aur internet acha auto fox kamera hai jo mein usay 15000 mein kharidata hon,Positive
j mujhy handfree mily bhot achy hai shukriya daraz,Positive
mujhe yeh phone flash farokht mein sirf 13400 rupay mein mila  usay sirf aik din mein pohanchaya gaya  khususiyaat herat angaiz hain  rang achh  a hai  ??????? daraaz aur smart link,Positive
bhot achy specs hai aur price b kafi munasib hai,Positive
me nii khareed sakta offical launch is ka,Neutral
keemat bhot ziyda is ki asal keemat 48000 hai,Positive
mein daraaz par is ka bohat intzaar kar raha hon kyun ke aan plus 5 phone phone mein aik parcham bardaar qaatil aur ifrit hai,Negative
bhot acha camera h aur achy specs b hai is keemat me,Positive
mein v khush hon     is se kahin ziyada meri umeed ki ja rahi thi     mein online site se kharidne se gorezan tha  lekin daraaz zabardast nokari ,Positive
thinks se daraaz mein ne aaj waqt ki farahmi mein yeh behtareen aala umdah karkardagi achi screen resolution haasil kya,Positive
2 din me mila hai bhot acha phone hai,Positive
is qeemat mein yeh sab se behtar hai jo mil sakta hai       meet 10 se kahin ziyada behtar     mohabbat you am aayi aur thanx daraaz     ,Positive
is qeemat ki had mein sab se behtareen mobile yeh ???? f 7 ko bhi shikast day sakta hai jo 39000 hai  ,Positive
is meenat me bhot acha phone mila hai,Positive
"jab yeh multi ?????? ki baat aati hai to yeh phone ghair mamooli hai, aap split screen ki khasusiyat ko baghair kisi karkardagi ke hichki ke istemaal kar saktay hain  neez, yeh shayad sab se ziyada zaati noiyat ka phone hai jo mein naay kabhi istemaal kya hai  user antrfis bohat lachak dar hai",Negative
imei num ni valid me ny wbsite p dekh tha lakin ya koi chez ni show krw rha,Neutral
blue color afi acha hai aur baki chezy b iss keemat me achi mil gi h,Positive
me ny kal raat order kya aur aj mil gya tha daraz ki service bhot achi hai   ,Positive
mujhy ya product kal mila kyu k ya lahore sy aj nikala hi,Neutral
mujhy bhot acha lagta ni aur mera phone ab rasty me hai,Positive
kya kisi ko ya phone mila h darz sy kyu k ya phely order ki list me show ho rha hai,Negative
"mein nay? yeh phone black friday par order kya tha, lekin bad qismati se mujhe ziyada se ziyada riayat nahi mili  phone ka miyaar paisa ke l  aw zabardast aur behtareen qader hai  sarkari partners smart link nay? order ke aik ghanta mein hi order rawana kardiya  2000 se mayoosi hui aur is phone ko 2 kaam ke dinon mein pohanchaya  shukriya daraz  pk",Positive
a bhot bara h aur weight me b ziyda hai apni tasveer sy,Neutral
bhot acha phone hai kam keemat me,Positive
